Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
Mahendran Aruchamy,4.0,Good,2023-05-18,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,positive,0.4404,positive
TAPAS KUMAR PATRA,4.0,Useful,2023-05-11,good and useful one person found this helpful,good useful person,{'person': 'positive'},good useful helpful,"('one', 'CARDINAL')","[('admiration', 0.7070726156234741), ('approval', 0.13472430408000946), ('neutral', 0.06302259862422943)]","[[{'label': 'joy', 'score': 0.8970558643341064}, {'label': 'neutral', 'score': 0.07697483152151108}, {'label': 'surprise', 'score': 0.008693546988070011}, {'label': 'disgust', 'score': 0.007245113607496023}, {'label': 'sadness', 'score': 0.005827981512993574}, {'label': 'anger', 'score': 0.0035040376242250204}, {'label': 'fear', 'score': 0.0006986107327975333}]]",positive,positive,0.8422,positive
K Katoch,4.0,Good,2023-05-08,good product ,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.4980430603027344}, {'label': 'joy', 'score': 0.16793449223041534}, {'label': 'disgust', 'score': 0.10616806894540787}, {'label': 'anger', 'score': 0.10323358327150345}, {'label': 'fear', 'score': 0.08480693399906158}, {'label': 'sadness', 'score': 0.03375154733657837}, {'label': 'surprise', 'score': 0.006062269676476717}]]",positive,positive,0.4404,positive
VIJAYAKUMAR J,4.0,Good,2023-05-05,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
saroj das,4.0,Good,2023-05-01,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Prasun Kr. Bhattacharjee,4.0,Good,2023-05-01,useful,,{},useful,,"[('neutral', 0.727652907371521), ('approval', 0.04245838522911072), ('curiosity', 0.019518887624144554)]","[[{'label': 'neutral', 'score': 0.5086475610733032}, {'label': 'joy', 'score': 0.18474973738193512}, {'label': 'sadness', 'score': 0.1066524088382721}, {'label': 'anger', 'score': 0.07999663054943085}, {'label': 'disgust', 'score': 0.07685700058937073}, {'label': 'surprise', 'score': 0.036282978951931}, {'label': 'fear', 'score': 0.006813707295805216}]]",positive,positive,0.4404,positive
Arun Kumar Varma,4.0,Good,2023-04-20,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
nilesh joshi,4.0,Good product,2023-04-07,quality is good,quality,{'quality': 'positive'},good,,"[('admiration', 0.5758296251296997), ('approval', 0.17809075117111206), ('neutral', 0.08872497826814651)]","[[{'label': 'neutral', 'score': 0.875610888004303}, {'label': 'joy', 'score': 0.06050509586930275}, {'label': 'sadness', 'score': 0.021351059898734093}, {'label': 'anger', 'score': 0.014870371669530869}, {'label': 'disgust', 'score': 0.014595873653888702}, {'label': 'surprise', 'score': 0.011343252845108509}, {'label': 'fear', 'score': 0.0017234345432370901}]]",positive,positive,0.4404,positive
PY,4.0,Repels mosquitoes,2023-03-29,repels mosquitoes out of the room easy to use pleasant smell produced by godrej,repel room pleasant smell godrej,"{'repels': 'positive', 'room': 'positive', 'smell': 'positive', 'godrej': 'positive'}",easy pleasant,,"[('neutral', 0.36041393876075745), ('annoyance', 0.17803452908992767), ('surprise', 0.059881195425987244)]","[[{'label': 'joy', 'score': 0.6987300515174866}, {'label': 'neutral', 'score': 0.20307883620262146}, {'label': 'disgust', 'score': 0.07524176687002182}, {'label': 'sadness', 'score': 0.008909439668059349}, {'label': 'anger', 'score': 0.008631411008536816}, {'label': 'surprise', 'score': 0.00355527107603848}, {'label': 'fear', 'score': 0.0018532645190134645}]]",positive,positive,0.7351,positive
Rahul kumar Sinha,4.0,Better,2023-03-15,nice,,{},nice,,"[('admiration', 0.7273629307746887), ('approval', 0.07381336390972137), ('neutral', 0.06820283085107803)]","[[{'label': 'neutral', 'score': 0.7410890460014343}, {'label': 'disgust', 'score': 0.12970957159996033}, {'label': 'sadness', 'score': 0.03709390386939049}, {'label': 'anger', 'score': 0.036271657794713974}, {'label': 'joy', 'score': 0.03328331559896469}, {'label': 'surprise', 'score': 0.018532119691371918}, {'label': 'fear', 'score': 0.00402035703882575}]]",positive,positive,0.4215,positive
Vijay pachori,4.0,प्रोडक्ट सस्ता भी ही और अच्छा भी हे,2023-03-14,प्रोडक्ट पसंद है,,{'पसंद': 'neutral'},,"('प्रोडक्ट पसंद है', 'PERSON')","[('neutral', 0.35011720657348633), ('disappointment', 0.10713531076908112), ('annoyance', 0.1024220660328865)]","[[{'label': 'neutral', 'score': 0.6666456460952759}, {'label': 'fear', 'score': 0.13348861038684845}, {'label': 'anger', 'score': 0.050640739500522614}, {'label': 'surprise', 'score': 0.04641395062208176}, {'label': 'joy', 'score': 0.0441058874130249}, {'label': 'sadness', 'score': 0.040684010833501816}, {'label': 'disgust', 'score': 0.018021149560809135}]]",neutral,positive,0.0,neutral
send invoice,4.0,Mast,2023-02-27,nice,,{},nice,,"[('admiration', 0.7273629307746887), ('approval', 0.07381336390972137), ('neutral', 0.06820283085107803)]","[[{'label': 'neutral', 'score': 0.7410890460014343}, {'label': 'disgust', 'score': 0.12970957159996033}, {'label': 'sadness', 'score': 0.03709390386939049}, {'label': 'anger', 'score': 0.036271657794713974}, {'label': 'joy', 'score': 0.03328331559896469}, {'label': 'surprise', 'score': 0.018532119691371918}, {'label': 'fear', 'score': 0.00402035703882575}]]",positive,positive,0.4215,positive
DEBABRATA RAKSHIT,4.0,Mosquitoe killing power.,2023-02-16,yesgood one  very useful product but the mosquitoes are somehow now still moving even after spraying burning thise liquid which should be look into by the companys rd wing to find out the reasons and remidies to overcome the drawbackhopethe matter would be brought to notice of appropriate forum 3 people found this helpful,yesgood useful product mosquito burn thise liquid company rd wing reason remidie drawbackhopethe matter notice appropriate forum people,"{'product': 'positive', 'mosquitoes': 'positive', 'thise': 'positive', 'liquid': 'positive', 'companys': 'positive', 'rd': 'positive', 'wing': 'positive', 'reasons': 'positive', 'remidies': 'positive', 'matter': 'positive', 'notice': 'positive', 'forum': 'positive', 'people': 'positive'}",useful appropriate helpful,"('one', 'CARDINAL')","[('neutral', 0.6713114976882935), ('approval', 0.08777745813131332), ('realization', 0.044428661465644836)]","[[{'label': 'surprise', 'score': 0.3277895152568817}, {'label': 'joy', 'score': 0.2861509323120117}, {'label': 'sadness', 'score': 0.2625003755092621}, {'label': 'neutral', 'score': 0.11176921427249908}, {'label': 'anger', 'score': 0.007847517728805542}, {'label': 'disgust', 'score': 0.002499224152415991}, {'label': 'fear', 'score': 0.001443210756406188}]]",positive,positive,0.7664,positive
Gopichand,4.0,good,2023-02-15,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
BABY Mekkattukulam,4.0,nice,2023-01-06,like,,{},,,"[('neutral', 0.6463608145713806), ('love', 0.12039575725793839), ('approval', 0.05619985982775688)]","[[{'label': 'neutral', 'score': 0.7879066467285156}, {'label': 'surprise', 'score': 0.07542122900485992}, {'label': 'disgust', 'score': 0.04258676990866661}, {'label': 'anger', 'score': 0.035074736922979355}, {'label': 'sadness', 'score': 0.03186953440308571}, {'label': 'fear', 'score': 0.014038942754268646}, {'label': 'joy', 'score': 0.013102235272526741}]]",positive,positive,0.3612,positive
Amazon Customer,4.0,Good,2023-01-06,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Ramesh k.,4.0,बहुत अच्छा व कृयाशील उत्पाद।,2022-12-28,बहुत सुंदर एवं कृयाशील उत्पाद। पैसा वसूल।,,"{'बहुत': 'neutral', 'कृयाशील': 'neutral', 'उत्पाद': 'neutral'}",,"('पैसा वसूल', 'ORG')","[('disappointment', 0.28740155696868896), ('sadness', 0.20937460660934448), ('annoyance', 0.13801029324531555)]","[[{'label': 'neutral', 'score': 0.6208586692810059}, {'label': 'fear', 'score': 0.12336989492177963}, {'label': 'surprise', 'score': 0.07761168479919434}, {'label': 'anger', 'score': 0.07368508726358414}, {'label': 'sadness', 'score': 0.055734168738126755}, {'label': 'joy', 'score': 0.03428927809000015}, {'label': 'disgust', 'score': 0.014451147057116032}]]",neutral,positive,0.0,neutral
Uday,4.0,ok,2022-12-28,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
S.S.Sohi,4.0,Value for money,2022-12-06,mosquito repellent 2 people found this helpful,mosquito repellent people,"{'repellent': 'positive', 'people': 'positive'}",helpful,"('2', 'CARDINAL')","[('neutral', 0.623186469078064), ('approval', 0.05329597368836403), ('excitement', 0.05162841081619263)]","[[{'label': 'joy', 'score': 0.516627848148346}, {'label': 'neutral', 'score': 0.3894689381122589}, {'label': 'surprise', 'score': 0.07438088953495026}, {'label': 'sadness', 'score': 0.008174453862011433}, {'label': 'anger', 'score': 0.005339884664863348}, {'label': 'disgust', 'score': 0.004200461320579052}, {'label': 'fear', 'score': 0.0018074426334351301}]]",positive,positive,0.5023,positive
nareshkumarchauhan,4.0,Like this product,2022-12-04,like this product,product,{'product': 'positive'},,,"[('neutral', 0.7407457828521729), ('approval', 0.05541945993900299), ('admiration', 0.029668552801012993)]","[[{'label': 'neutral', 'score': 0.9095956087112427}, {'label': 'surprise', 'score': 0.054645806550979614}, {'label': 'joy', 'score': 0.014823490753769875}, {'label': 'sadness', 'score': 0.009171253070235252}, {'label': 'anger', 'score': 0.005741903092712164}, {'label': 'disgust', 'score': 0.004082046449184418}, {'label': 'fear', 'score': 0.0019397912546992302}]]",positive,positive,0.3612,positive
Amazon Customer,4.0,GOOD SERVICE,2022-12-04,like,,{},,,"[('neutral', 0.6463608145713806), ('love', 0.12039575725793839), ('approval', 0.05619985982775688)]","[[{'label': 'neutral', 'score': 0.7879066467285156}, {'label': 'surprise', 'score': 0.07542122900485992}, {'label': 'disgust', 'score': 0.04258676990866661}, {'label': 'anger', 'score': 0.035074736922979355}, {'label': 'sadness', 'score': 0.03186953440308571}, {'label': 'fear', 'score': 0.014038942754268646}, {'label': 'joy', 'score': 0.013102235272526741}]]",positive,positive,0.3612,positive
Jagdish Chander Sharma,4.0,Receipt of damaged product.,2022-12-02,some part of item seems to have leaked please the leacked item was either refilled or replaced customer image,item leacke item customer image,"{'part': 'neutral', 'item': 'neutral', 'customer': 'neutral', 'image': 'neutral'}",,,"[('neutral', 0.32914116978645325), ('disappointment', 0.14935222268104553), ('realization', 0.0873144119977951)]","[[{'label': 'neutral', 'score': 0.7409508228302002}, {'label': 'surprise', 'score': 0.15761536359786987}, {'label': 'sadness', 'score': 0.07041232287883759}, {'label': 'anger', 'score': 0.01336884219199419}, {'label': 'disgust', 'score': 0.008138365112245083}, {'label': 'fear', 'score': 0.005346231162548065}, {'label': 'joy', 'score': 0.004168086685240269}]]",neutral,positive,0.0,neutral
Dhananjay,4.0,Nice,2022-12-01,packaging could have been better but glad it didnt spill one person found this helpful,packaging person,"{'packaging': 'positive', 'person': 'positive'}",better glad helpful,"('one', 'CARDINAL')","[('joy', 0.511227011680603), ('approval', 0.13963426649570465), ('gratitude', 0.11751744896173477)]","[[{'label': 'joy', 'score': 0.9507826566696167}, {'label': 'surprise', 'score': 0.0187903493642807}, {'label': 'neutral', 'score': 0.01804528385400772}, {'label': 'sadness', 'score': 0.008087553083896637}, {'label': 'anger', 'score': 0.0028192312456667423}, {'label': 'disgust', 'score': 0.0011772691505029798}, {'label': 'fear', 'score': 0.0002977340773213655}]]",positive,positive,0.884,positive
Poonam Sharma,4.0,Very good.,2022-11-23,good product orginal productpackiging is also good thanks amozon,good product orginal productpackiging good thank,"{'product': 'positive', 'productpackiging': 'positive', 'thanks': 'positive'}",good orginal good amozon,,"[('gratitude', 0.8446669578552246), ('admiration', 0.24423407018184662), ('approval', 0.08437726646661758)]","[[{'label': 'joy', 'score': 0.7184962630271912}, {'label': 'neutral', 'score': 0.20770502090454102}, {'label': 'surprise', 'score': 0.05877986550331116}, {'label': 'sadness', 'score': 0.009593146853148937}, {'label': 'anger', 'score': 0.0027224267832934856}, {'label': 'disgust', 'score': 0.0019418454030528665}, {'label': 'fear', 'score': 0.000761485134717077}]]",positive,positive,0.8271,positive
Gautam Singha,4.0,Good,2022-11-19,worthy,,{},worthy,,"[('neutral', 0.6981549263000488), ('approval', 0.042438093572854996), ('admiration', 0.04017169401049614)]","[[{'label': 'neutral', 'score': 0.6982433795928955}, {'label': 'disgust', 'score': 0.13195601105690002}, {'label': 'anger', 'score': 0.08682464808225632}, {'label': 'surprise', 'score': 0.027308139950037003}, {'label': 'fear', 'score': 0.025596164166927338}, {'label': 'sadness', 'score': 0.02185233123600483}, {'label': 'joy', 'score': 0.008219270966947079}]]",positive,positive,0.4404,positive
naveen kumar,4.0,Quality product,2022-11-19,click to play video it is very good quality product which i got in on approx 22 discount i have searched in whole market no one is giving so much discount it works perfectly on mosquitoes if u put this on in active mode then no mosquito would sting u fragrance is also good in normal mode it doesnt work perfectly on mosquitoes there is a lot of possibility that mosquitoes can sting u only drawback is that it doesnt fit in latest gold flash machine it fits only in active machine customer image customer image customer image customer image customer image customer image 2 people found this helpful,video good quality product approx discount market discount mosquito u active mode mosquito u fragrance normal mode mosquito lot possibility mosquito u drawback late gold flash machine active machine customer image customer image customer image customer image customer image customer image people,"{'video': 'positive', 'quality': 'positive', 'product': 'positive', 'discount': 'positive', 'market': 'positive', 'one': 'positive', 'mosquitoes': 'positive', 'mode': 'positive', 'mosquito': 'positive', 'fragrance': 'positive', 'lot': 'positive', 'possibility': 'positive', 'drawback': 'positive', 'gold': 'positive', 'flash': 'positive', 'machine': 'positive', 'customer': 'positive', 'image': 'positive', 'people': 'positive'}",good whole much active good normal only latest active helpful,"('22', 'CARDINAL')","[('neutral', 0.3510530889034271), ('annoyance', 0.15166392922401428), ('disapproval', 0.14185944199562073)]","[[{'label': 'anger', 'score': 0.9046226143836975}, {'label': 'neutral', 'score': 0.049502141773700714}, {'label': 'disgust', 'score': 0.012375682592391968}, {'label': 'joy', 'score': 0.012312056496739388}, {'label': 'sadness', 'score': 0.009695802815258503}, {'label': 'surprise', 'score': 0.00869420450180769}, {'label': 'fear', 'score': 0.0027975004632025957}]]",positive,positive,0.971,positive
apurba mandal,4.0,Good. Quality is like the brand,2022-11-18,good quality is like the brand,good quality brand,"{'quality': 'positive', 'brand': 'positive'}",good,,"[('admiration', 0.6047174334526062), ('approval', 0.20412598550319672), ('neutral', 0.08827992528676987)]","[[{'label': 'neutral', 'score': 0.7652371525764465}, {'label': 'joy', 'score': 0.19011804461479187}, {'label': 'surprise', 'score': 0.022074192762374878}, {'label': 'disgust', 'score': 0.00975021068006754}, {'label': 'sadness', 'score': 0.0065382299944758415}, {'label': 'anger', 'score': 0.005271507427096367}, {'label': 'fear', 'score': 0.001010590000078082}]]",positive,positive,0.6597,positive
Placeholder,4.0,"अति सुन्दर, उपयोगी शुद्ध सामग्री।",2022-11-14,घर के लिए उपयोग किया।,घर,{},,"('किया', 'ORG')","[('neutral', 0.2036135196685791), ('realization', 0.1466248780488968), ('disappointment', 0.1085842102766037)]","[[{'label': 'neutral', 'score': 0.8199570178985596}, {'label': 'anger', 'score': 0.05180015042424202}, {'label': 'surprise', 'score': 0.04775086045265198}, {'label': 'fear', 'score': 0.03015940636396408}, {'label': 'sadness', 'score': 0.02535960264503956}, {'label': 'joy', 'score': 0.013450377620756626}, {'label': 'disgust', 'score': 0.011522538959980011}]]",neutral,positive,0.0,neutral
James george,4.0,Okay,2022-11-04,okay,,{},,,"[('caring', 0.4207284450531006), ('neutral', 0.3144889175891876), ('approval', 0.158890038728714)]","[[{'label': 'neutral', 'score': 0.46568575501441956}, {'label': 'surprise', 'score': 0.3176923990249634}, {'label': 'joy', 'score': 0.14012223482131958}, {'label': 'sadness', 'score': 0.06323381513357162}, {'label': 'anger', 'score': 0.005717869382351637}, {'label': 'fear', 'score': 0.00394794624298811}, {'label': 'disgust', 'score': 0.0036000024992972612}]]",positive,positive,0.2263,positive
Mahmad Husen vahora,4.0,Good,2022-10-29,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Sivadas,4.0,Good,2022-10-25,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
M.Saad,4.0,It's ok,2022-10-17,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,positive,0.4404,positive
Sharad nilkanth,4.0,Good,2022-10-16,best than other,,{},other,,"[('admiration', 0.602127194404602), ('neutral', 0.22262056171894073), ('approval', 0.07337627559900284)]","[[{'label': 'neutral', 'score': 0.6860742568969727}, {'label': 'surprise', 'score': 0.2443714588880539}, {'label': 'joy', 'score': 0.023597177118062973}, {'label': 'disgust', 'score': 0.016747452318668365}, {'label': 'anger', 'score': 0.014337150380015373}, {'label': 'sadness', 'score': 0.012275601737201214}, {'label': 'fear', 'score': 0.0025969152338802814}]]",positive,positive,0.6369,positive
Himanshu,4.0,"Easy and effective ,rapid delivery by Amazon",2022-10-10,easy and effective rapid delivery by amazon,easy effective rapid delivery amazon,"{'delivery': 'positive', 'amazon': 'positive'}",easy effective rapid,,"[('neutral', 0.6039262413978577), ('approval', 0.16180750727653503), ('caring', 0.0483008548617363)]","[[{'label': 'neutral', 'score': 0.8090542554855347}, {'label': 'surprise', 'score': 0.12440305203199387}, {'label': 'joy', 'score': 0.045429859310388565}, {'label': 'anger', 'score': 0.009778616018593311}, {'label': 'sadness', 'score': 0.005794723983854055}, {'label': 'fear', 'score': 0.00454068323597312}, {'label': 'disgust', 'score': 0.000998835195787251}]]",positive,positive,0.7717,positive
Sudipta Samanta,4.0,Value of money 🤑💰 nice....,2022-10-05,click to play video nice product  looks like beautiful  one person found this helpful,video nice product beautiful person,"{'video': 'positive', 'product': 'positive', 'person': 'positive'}",nice beautiful helpful,"('one', 'CARDINAL')","[('admiration', 0.7679421901702881), ('approval', 0.08714256435632706), ('neutral', 0.0729307010769844)]","[[{'label': 'joy', 'score': 0.8974961042404175}, {'label': 'surprise', 'score': 0.06725379824638367}, {'label': 'neutral', 'score': 0.024336807429790497}, {'label': 'sadness', 'score': 0.008615845814347267}, {'label': 'anger', 'score': 0.001338777830824256}, {'label': 'fear', 'score': 0.0005037625669501722}, {'label': 'disgust', 'score': 0.00045484513975679874}]]",positive,positive,0.9306,positive
Rekha bala,4.0,good,2022-09-25,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
G.VenkatanarayanaReddy,4.0,Useful,2022-09-12,easy to use,,{},easy,,"[('neutral', 0.6498970985412598), ('approval', 0.11207449436187744), ('caring', 0.09090538322925568)]","[[{'label': 'neutral', 'score': 0.7660480737686157}, {'label': 'joy', 'score': 0.15946730971336365}, {'label': 'surprise', 'score': 0.047133252024650574}, {'label': 'sadness', 'score': 0.01005791686475277}, {'label': 'anger', 'score': 0.00981179904192686}, {'label': 'disgust', 'score': 0.005095984786748886}, {'label': 'fear', 'score': 0.0023856612388044596}]]",positive,positive,0.4404,positive
RatnaAaditya,4.0,good,2022-08-18,good 2 people found this helpful,good people,{'people': 'positive'},good helpful,"('2', 'CARDINAL')","[('admiration', 0.6230331659317017), ('approval', 0.13532918691635132), ('joy', 0.09545344859361649)]","[[{'label': 'joy', 'score': 0.8294143676757812}, {'label': 'neutral', 'score': 0.10504096001386642}, {'label': 'surprise', 'score': 0.04970024153590202}, {'label': 'sadness', 'score': 0.008087893016636372}, {'label': 'disgust', 'score': 0.003978165797889233}, {'label': 'anger', 'score': 0.0032407124526798725}, {'label': 'fear', 'score': 0.0005376380868256092}]]",positive,positive,0.7311,positive
Sumana Sinha,4.0,Good product.,2022-08-12,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,positive,0.4404,positive
Dr S.Dhanabalan,4.0,Well known mosquito repellent.,2022-08-12,trusted brand for repelling mosquito,brand mosquito,"{'brand': 'positive', 'mosquito': 'positive'}",,"('mosquito', 'PERSON')","[('neutral', 0.3953322172164917), ('annoyance', 0.14339512586593628), ('disappointment', 0.09415707737207413)]","[[{'label': 'neutral', 'score': 0.7576167583465576}, {'label': 'disgust', 'score': 0.1112835630774498}, {'label': 'anger', 'score': 0.051766399294137955}, {'label': 'joy', 'score': 0.04168197885155678}, {'label': 'fear', 'score': 0.01979084126651287}, {'label': 'sadness', 'score': 0.011488223448395729}, {'label': 'surprise', 'score': 0.0063721295446157455}]]",positive,positive,0.4767,positive
Apoorv Pradhan,4.0,Good one 👍🏻,2022-08-03,recived in proper packing and this doesnt seems duplicate product smell is also as good and it is effective too  customer image customer image customer image,proper packing duplicate product smell customer image customer image customer image,"{'packing': 'positive', 'product': 'positive', 'smell': 'positive', 'customer': 'positive', 'image': 'positive'}",proper duplicate good effective,,"[('neutral', 0.23502059280872345), ('disapproval', 0.20262427628040314), ('disappointment', 0.17008665204048157)]","[[{'label': 'joy', 'score': 0.8283970952033997}, {'label': 'neutral', 'score': 0.1271846890449524}, {'label': 'surprise', 'score': 0.017405511811375618}, {'label': 'sadness', 'score': 0.013591527938842773}, {'label': 'disgust', 'score': 0.006769814994186163}, {'label': 'anger', 'score': 0.005614100955426693}, {'label': 'fear', 'score': 0.0010372609831392765}]]",positive,positive,0.7184,positive
prakash choudhary,4.0,Ok,2022-08-02,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,positive,0.296,positive
murali krishna reddy,4.0,Ok,2022-07-29,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,positive,0.296,positive
